SMILES,Category
O=C1OC2=C(C=CC=3OCN(CC32)C(C=4C=CC=CC4)C)C(=C1)C=5C=CC(OC)=CC5.CC(OCC)=O,Application_ds
CCOC(=O)[C@@H]1C[C@H]1/C=C/c1ccc(-c2nc3ccccc3o2)cc1.CC(OCC)=O,Application_ds
Nc1nc2c(s1)CCNCC2.CC(OCC)=O,Application_ds
O=C(O)CCCCC=CCC=CCCCCCCC.O,Application_ds
CC1CN(c2ccc(C(=O)Nc3ccc(Cl)c(-c4ccccn4)c3)cn2)CC(C)O1.CO,Application_ds
CC(C)(C)[Si](OCC1OCCCC1N)(c1ccccc1)c1ccccc1.CC1CCCO1,Application_ds
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO.CC(OCC)=O,Application_ds
CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CC(C4CCOCC4)C3)n(C3CCCCO3)c2n1.O=CN(C)C,Application_ds
O=C1C2=C(O)C=C(O)C(=C2OC(C3=CC=C(O)C=C3)C1)C(C=C)(C)C.CCO,Application_ds
C1=CC2=C(C=C1S(=O)(=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)O.C1=CC2=C(C=C1S(=O)(=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)O.C1=CC2=C(C=C1S(=O)(=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)O.[Al+3].CO,Application_ds
Cc1cccc(OCc2ccccc2)[n+]1[O-].CC1=CC=CC=C1,Application_ds
O=S(=O)(O)CC1=CC(N2C(C(=C)CCC2)=C1C)(C)C.CO,Application_ds
O=S(=O)(c1ccccc1)c1cnc2c(N3CCNCC3)cccc2c1.CCO,Application_ds
OC1=CC(OC)=CC=C1CN2CCCC2C3=NC(=NO3)C=4C=NC(=CC4)N(C)C.O=CN(C)C,Application_ds
O=C1C=2C(O)=CC(O)=CC2OCC1CC3=CC=C(O)C(O)=C3.CCO,Application_ds
O=C(O)Cc1ccccc1[N+](=O)[O-].CC(C)=O,Application_ds
O=C(CCCCCO)CCCCCC[C]1[CH][CH][C]([O-])[C](C)[NH2+]1.CO,Application_ds
O=C1N(c2ccccc2)CC(c2ccccc2O)=NN1c1ccccc1Br.O,Application_ds
C[C@H](CO)Nc1nc(Cl)ncc1-c1cccs1.CC(OCC)=O,Application_ds
O=C1C=CC=C2N1CC3CN(C(=O)CC4=NN(C(=O)C=5C=CC=CC54)C)CC2C3.O=CN(C)C,Application_ds
O=C(OCCC(S)C)C.CC(OCC)=O,Application_ds
